Number,Name,Type1,Type2,Total,HP,Attack,Defense,SpecialAtk,SpecialDef,Speed,Generation
395,帝王拿波,Water,Steel,530,84,86,88,111,101,60,4
396,姆克兒,Normal,Flying,245,40,55,30,30,30,60,4
397,姆克鳥,Normal,Flying,340,55,75,50,40,40,80,4
398,姆克鷹,Normal,Flying,485,85,120,70,50,60,100,4
399,大牙狸,Normal,,250,59,45,40,35,40,31,4
400,大尾狸,Normal,Water,410,79,85,60,55,60,71,4
401,圓法師,Bug,,194,37,25,41,25,41,25,4
402,音箱蟀,Bug,,384,77,85,51,55,51,65,4
403,小貓怪,Electric,,263,45,65,34,40,34,45,4
404,勒克貓,Electric,,363,60,85,49,60,49,60,4
405,倫琴貓,Electric,,523,80,120,79,95,79,70,4
406,含羞苞,Grass,Poison,280,40,30,35,50,70,55,4
407,羅絲雷朵,Grass,Poison,515,60,70,65,125,105,90,4
408,頭蓋龍,Rock,,350,67,125,40,30,30,58,4
409,戰槌龍,Rock,,495,97,165,60,65,50,58,4
410,盾甲龍,Rock,Steel,350,30,42,118,42,88,30,4
411,護城龍,Rock,Steel,495,60,52,168,47,138,30,4
412,結草兒,Bug,,224,40,29,45,29,45,36,4
413,結草貴婦(草木蓑衣),Bug,Ground,424,60,79,105,59,85,36,4
413,結草貴婦(垃圾蓑衣),Bug,Steel,424,60,69,95,69,95,36,4
413,結草貴婦(植物蓑衣),Bug,Grass,424,60,59,85,79,105,36,4
414,紳士蛾,Bug,Flying,424,70,94,50,94,50,66,4
415,三蜜蜂,Bug,Flying,244,30,30,42,30,42,70,4
416,蜂女王,Bug,Flying,474,70,80,102,80,102,40,4
417,帕奇利茲,Electric,,405,60,45,70,45,90,95,4
418,泳圈鼬,Water,,330,55,65,35,60,30,85,4
419,浮潛鼬,Water,,495,85,105,55,85,50,115,4
420,櫻花寶,Grass,,275,45,35,45,62,53,35,4
421,櫻花兒,Grass,,450,70,60,70,87,78,85,4
422,無殼海兔,Water,,325,76,48,48,57,62,34,4
423,海兔獸,Water,Ground,475,111,83,68,92,82,39,4
424,雙尾怪手,Normal,,482,75,100,66,60,66,115,4
425,飄飄球,Ghost,Flying,348,90,50,,60,44,70,4
426,隨風球,Ghost,Flying,498,150,80,,90,54,80,4
427,捲捲耳,Normal,,350,55,66,44,44,56,85,4
428,長耳兔Mega,Normal,Fighting,580,65,136,94,54,96,135,4
428,長耳兔,Normal,,480,65,76,84,54,96,105,4
429,夢妖魔,Ghost,,495,60,60,,105,105,105,4
430,烏鴉頭頭,Dark,Flying,505,100,125,52,105,52,71,4
431,魅力喵,Normal,,310,49,55,42,42,37,85,4
432,東施喵,Normal,,452,71,82,64,64,59,112,4
433,鈴鐺響,Psychic,,285,45,30,50,65,50,45,4
434,臭鼬噗,Poison,Dark,329,63,63,47,41,41,74,4
435,坦克臭鼬,Poison,Dark,479,103,93,67,71,61,84,4
436,銅鏡怪,Steel,Psychic,300,57,24,86,24,86,23,4
437,青銅鐘,Steel,Psychic,500,67,89,116,79,116,33,4
438,盆才怪,Rock,,290,50,80,95,10,45,10,4
439,魔尼尼,Psychic,Fairy,310,20,25,45,70,90,60,4
440,小福蛋,Normal,,220,100,5,5,15,65,30,4
441,聒噪鳥,Normal,Flying,411,76,65,45,92,42,91,4
442,花岩怪,Ghost,Dark,485,50,92,108,92,108,35,4
443,圓陸鯊,Dragon,Ground,300,58,70,45,40,45,42,4
444,尖牙陸鯊,Dragon,Ground,410,68,90,65,50,55,82,4
445,烈咬陸鯊Mega,Dragon,Ground,700,108,170,115,120,95,92,4
445,烈咬陸鯊,Dragon,Ground,600,108,130,95,80,85,102,4
446,小卡比獸,Normal,,390,135,85,40,40,85,5,4
447,利歐路,Fighting,,285,40,70,40,35,40,60,4
448,路卡利歐Mega,Fighting,Steel,625,70,145,88,140,70,112,4
448,路卡利歐,Fighting,Steel,525,70,110,70,115,70,90,4
449,沙河馬,Ground,,330,68,72,78,38,42,32,4
450,河馬獸,Ground,,525,108,112,118,68,72,47,4
451,鉗尾蠍,Poison,Bug,330,40,50,90,30,55,65,4
452,龍王蠍,Poison,Dark,500,70,90,110,60,75,95,4
453,不良蛙,Poison,Fighting,300,48,61,40,61,40,50,4
454,毒骷蛙,Poison,Fighting,490,83,106,65,86,65,85,4
455,尖牙籠,Grass,,454,74,100,72,90,72,46,4
456,螢光魚,Water,,330,49,49,56,49,61,66,4
457,霓虹魚,Water,,460,69,69,76,69,86,91,4
458,小球飛魚,Water,Flying,345,45,20,50,60,120,50,4
459,雪笠怪,Grass,Ice,334,60,62,50,62,60,40,4
460,暴雪王Mega,Grass,Ice,594,90,132,105,132,105,30,4
460,暴雪王,Grass,Ice,494,90,92,75,92,85,60,4
461,瑪狃拉,Dark,Ice,510,70,120,65,45,85,125,4
462,自爆磁怪,Electric,Steel,535,70,70,115,130,90,60,4
463,大舌舔,Normal,,515,110,85,95,80,95,50,4
464,超甲狂犀,Ground,Rock,535,115,140,130,55,55,40,4
465,巨蔓藤,Grass,,535,100,100,125,110,50,50,4
466,電擊魔獸,Electric,,540,75,123,67,95,85,95,4
467,鴨嘴炎獸,Fire,,540,75,95,67,125,95,83,4
468,波克基斯,Fairy,Flying,545,85,50,95,120,115,80,4
469,遠古巨蜓,Bug,Flying,515,86,76,86,116,56,95,4
470,葉伊布,Grass,,525,65,110,130,60,65,95,4
471,冰伊布,Ice,,525,65,60,110,130,95,65,4
472,天蠍王,Ground,Flying,510,75,95,125,45,75,95,4
473,象牙豬,Ice,Ground,530,110,130,80,70,60,80,4
474,多邊獸Ｚ,Normal,,535,85,80,70,135,75,90,4
475,艾路雷朵Mega,Psychic,Fighting,618,68,165,95,65,115,110,4
475,艾路雷朵,Psychic,Fighting,518,68,125,65,65,115,80,4
476,大朝北鼻,Rock,Steel,525,60,55,145,75,150,40,4
477,黑夜魔靈,Ghost,,525,45,100,135,65,135,45,4
478,雪妖女,Ice,Ghost,480,70,80,70,80,70,110,4
479,洛托姆-Heat,Electric,Fire,520,50,65,107,105,107,86,4
479,洛托姆-Wash,Electric,Water,520,50,65,107,105,107,86,4
479,洛托姆-Forst,Electric,Ice,520,50,65,107,105,107,86,4
479,洛托姆-Fan,Electric,Flying,520,50,65,107,105,107,86,4
479,洛托姆-Mow,Electric,Grass,520,50,65,107,105,107,86,4
479,洛托姆,Electric,Ghost,440,50,50,77,95,77,91,4
480,由克希,Psychic,,580,75,75,130,75,130,95,4
481,艾姆利多,Psychic,,580,80,105,105,105,105,80,4
482,亞克諾姆,Psychic,,580,75,125,70,125,70,115,4
483,帝牙盧卡,Steel,Dragon,680,100,120,120,150,100,90,4
484,帕路奇亞,Water,Dragon,680,90,120,100,150,120,100,4
485,席多藍恩,Fire,Steel,600,91,90,106,130,106,77,4
486,雷吉奇卡斯,Normal,,670,110,,110,80,110,100,4
487,騎拉帝納-Origin,Ghost,Dragon,680,150,120,100,120,100,90,4
487,騎拉帝納-Altered,Ghost,Dragon,680,150,100,120,100,120,90,4
488,克雷色利亞,Psychic,,600,120,70,120,75,130,85,4
489,霏歐納,Water,,480,80,80,80,80,80,80,4
490,瑪納霏,Water,,600,100,100,100,100,100,100,4
491,達克萊伊,Dark,,600,70,90,90,135,90,125,4
492,謝米-sky,Grass,Flying,600,100,103,75,120,75,127,4
492,謝米-Land,Grass,,600,100,100,100,100,100,100,4
493,阿爾宙斯,Normal,,720,120,120,,120,120,120,4
494,比克提尼,Psychic,Fire,600,100,100,100,100,100,100,5
495,藤藤蛇,Grass,,308,45,45,55,45,55,63,5
496,青藤蛇,Grass,,413,60,60,75,60,75,83,5
497,君主蛇,Grass,,528,75,75,95,75,95,113,5
498,暖暖豬,Fire,,308,65,63,45,45,45,45,5
499,炒炒豬,Fire,Fighting,418,90,93,55,70,55,55,5
500,炎武王,Fire,Fighting,528,110,123,65,100,65,65,5
501,水水獺,Water,,308,55,55,45,63,45,45,5
502,雙刃丸,Water,,413,75,75,60,83,60,60,5
503,大劍鬼,Water,,528,95,100,85,108,70,70,5
504,探探鼠,Normal,,255,45,55,39,35,39,42,5
505,步哨鼠,Normal,,420,60,85,69,60,69,77,5
506,小約克,Normal,,275,45,60,45,25,45,55,5
507,哈約克,Normal,,370,65,80,65,35,65,60,5
508,長毛狗,Normal,,500,85,,90,45,90,80,5
509,扒手貓,Dark,,281,41,50,37,50,37,66,5
510,酷豹,Dark,,446,64,88,50,88,50,106,5
511,花椰猴,Grass,,316,50,53,48,53,48,64,5
512,花椰猿,Grass,,498,75,98,63,98,63,101,5
513,爆香猴,Fire,,316,50,53,48,53,48,64,5
514,爆香猿,Fire,,498,75,98,63,98,63,101,5
515,冷水猴,Water,,316,50,53,48,53,48,64,5
516,冷水猿,Water,,498,75,98,63,98,63,101,5
517,食夢夢,Psychic,,292,76,25,45,67,55,24,5
518,夢夢蝕,Psychic,,487,116,55,85,107,95,29,5
519,豆豆鴿,Normal,Flying,264,50,55,50,36,30,43,5
520,咕咕鴿,Normal,Flying,358,62,77,62,50,42,65,5
521,高傲雉雞,Normal,Flying,488,80,115,80,65,55,93,5
522,斑斑馬,Electric,,295,45,60,32,50,32,76,5
523,雷電斑馬,Electric,,497,75,100,63,80,63,116,5
524,石丸子,Rock,,280,55,75,85,25,25,15,5
525,地幔岩,Rock,,390,70,105,105,50,40,20,5
526,龐岩怪,Rock,,515,85,135,130,60,80,25,5
527,滾滾蝙蝠,Psychic,Flying,313,55,45,43,55,43,72,5
528,心蝙蝠,Psychic,Flying,425,67,57,55,77,55,114,5
529,螺釘地鼠,Ground,,328,60,85,40,30,45,68,5
530,龍頭地鼠,Ground,Steel,508,110,135,60,50,65,88,5
531,差不多娃娃Mega,Normal,Fairy,545,103,60,126,80,126,50,5
531,差不多娃娃,Normal,,445,103,60,,60,86,50,5
532,搬運小匠,Fighting,,305,75,80,55,25,35,35,5
533,鐵骨土人,Fighting,,405,85,105,85,40,50,40,5
534,修建老匠,Fighting,,505,105,140,95,55,65,45,5
535,圓蝌蚪,Water,,294,50,50,40,50,40,64,5
536,藍蟾蜍,Water,Ground,384,75,65,55,65,55,69,5
537,蟾蜍王,Water,Ground,509,105,95,75,85,75,74,5
538,投摔鬼,Fighting,,465,120,100,85,30,85,45,5
539,打擊鬼,Fighting,,465,75,125,75,30,75,85,5
540,蟲寶包,Bug,Grass,310,45,53,70,40,60,42,5
541,寶包繭,Bug,Grass,380,55,63,90,50,80,42,5
542,保母蟲,Bug,Grass,500,75,103,80,70,80,92,5
543,百足蜈蚣,Bug,Poison,260,30,45,59,30,39,57,5
544,車輪毬,Bug,Poison,360,40,55,99,40,79,47,5
545,蜈蚣王,Bug,Poison,485,60,100,89,55,69,112,5
546,木棉球,Grass,Fairy,280,40,27,60,37,50,66,5
547,風妖精,Grass,Fairy,480,60,67,85,77,75,116,5
548,百合根娃娃,Grass,,280,45,35,50,70,50,30,5
549,裙兒小姐,Grass,,480,70,60,75,110,75,90,5
550,野蠻鱸魚,Water,,460,70,92,65,80,55,98,5
551,黑眼鱷,Ground,Dark,292,50,72,35,35,35,65,5
552,混混鱷,Ground,Dark,351,60,82,45,45,45,74,5
553,流氓鱷,Ground,Dark,519,95,117,80,65,70,92,5
554,火紅不倒翁,Fire,,315,70,90,45,15,45,50,5
555,達摩狒狒-Standard,Fire,,480,105,140,55,30,55,95,5
555,達摩狒狒-Zen,Fire,Psychic,540,105,30,105,140,105,55,5
556,沙鈴仙人掌,Grass,,461,75,86,67,106,67,60,5
557,石居蟹,Bug,Rock,325,50,65,85,35,35,55,5
558,岩殿居蟹,Bug,Rock,475,70,95,125,65,75,45,5
559,滑滑小子,Dark,Fighting,348,50,75,70,35,70,48,5
560,頭巾混混,Dark,Fighting,488,65,90,115,45,115,58,5
561,象徵鳥,Psychic,Flying,490,72,58,80,103,80,97,5
562,哭哭面具,Ghost,,303,38,30,85,55,65,30,5
563,死神棺,Ghost,,483,58,50,145,95,105,30,5
564,原蓋海龜,Water,Rock,355,54,78,103,53,45,22,5
565,肋骨海龜,Water,Rock,495,74,108,133,83,65,32,5
566,始祖小鳥,Rock,Flying,401,55,112,45,74,45,70,5
567,始祖大鳥,Rock,Flying,567,75,140,65,112,65,110,5
568,破破袋,Poison,,329,50,50,62,40,62,65,5
569,灰塵山,Poison,,474,80,95,82,60,82,75,5
570,索羅亞,Dark,,330,40,65,40,80,40,65,5
571,索羅亞克,Dark,,510,60,105,60,120,60,105,5
572,泡沫栗鼠,Normal,,300,55,50,40,40,40,75,5
573,奇諾栗鼠,Normal,,470,75,95,60,65,60,115,5
574,哥德寶寶,Psychic,,290,45,30,50,55,65,45,5
575,哥德小童,Psychic,,390,60,45,70,75,85,55,5
576,哥德小姐,Psychic,,490,70,55,95,95,110,65,5
577,單卵細胞球,Psychic,,290,45,30,40,105,50,20,5
578,雙卵細胞球,Psychic,,370,65,40,50,125,60,30,5
579,人造細胞卵,Psychic,,490,110,65,75,125,85,30,5
580,鴨寶寶,Water,Flying,305,62,44,50,44,50,55,5
581,舞天鵝,Water,Flying,473,75,87,63,87,63,98,5
582,迷你冰,Ice,,305,36,50,50,65,60,44,5
583,多多冰,Ice,,395,51,65,65,80,75,59,5
584,雙倍多多冰,Ice,,535,71,95,85,110,95,79,5
585,四季鹿,Normal,Grass,335,60,60,50,40,50,75,5
586,萌芽鹿,Normal,Grass,475,80,100,70,60,70,95,5
587,電飛鼠,Electric,Flying,428,55,75,60,75,60,103,5
588,蓋蓋蟲,Bug,,315,50,75,45,40,45,60,5
589,騎士蝸牛,Bug,Steel,495,70,135,105,60,105,20,5
590,哎呀球菇,Grass,Poison,294,69,55,45,55,55,15,5
591,敗露球菇,Grass,Poison,464,114,85,70,85,80,30,5
592,輕飄飄,Water,Ghost,335,55,40,50,65,85,40,5
593,胖嘟嘟,Water,Ghost,480,100,60,70,85,105,60,5
594,保母曼波,Water,,470,165,75,80,40,45,65,5
595,電電蟲,Bug,Electric,319,50,47,50,57,50,65,5
596,電蜘蛛,Bug,Electric,472,70,77,60,97,60,108,5
597,種子鐵球,Grass,Steel,305,44,50,91,24,86,10,5
598,堅果啞鈴,Grass,Steel,489,74,94,131,54,116,20,5
599,齒輪兒,Steel,,300,40,55,70,45,60,30,5
600,齒輪組,Steel,,440,60,80,95,70,85,50,5
601,齒輪怪,Steel,,520,60,100,115,70,85,90,5
602,麻麻小魚,Electric,,275,35,55,40,45,40,60,5
603,麻麻鰻,Electric,,405,65,85,70,75,70,40,5
604,麻麻鰻魚王,Electric,,515,85,115,80,105,80,50,5
605,小灰怪,Psychic,,335,55,55,55,85,55,30,5
606,大宇怪,Psychic,,485,75,75,75,125,95,40,5
607,燭光靈,Ghost,Fire,275,50,30,55,65,55,20,5
608,燈火幽靈,Ghost,Fire,370,60,40,,95,60,55,5
609,水晶燈火靈,Ghost,Fire,520,60,55,90,145,90,80,5
610,牙牙,Dragon,,320,46,87,60,30,40,57,5
611,斧牙龍,Dragon,,410,66,117,70,40,50,67,5
612,雙斧戰龍,Dragon,,540,76,147,90,60,70,97,5
613,噴嚏熊,Ice,,305,55,70,40,60,40,40,5
614,凍原熊,Ice,,485,95,110,80,70,80,50,5
615,幾何雪花,Ice,,485,70,50,30,95,135,105,5
616,小嘴蝸,Bug,,305,50,40,85,40,65,25,5
617,敏捷蟲,Bug,,495,80,70,40,100,60,145,5
618,泥巴魚,Ground,Electric,471,109,66,84,81,99,32,5
619,功夫鼬,Fighting,,350,45,85,,55,50,65,5
620,師父鼬,Fighting,,510,65,125,60,95,60,105,5
621,赤面龍,Dragon,,485,77,120,90,60,90,48,5
622,泥偶小人,Ground,Ghost,303,59,74,50,35,50,35,5
623,泥偶巨人,Ground,Ghost,483,89,124,80,55,80,55,5
624,駒刀小兵,Dark,Steel,340,45,85,70,40,40,60,5
625,劈斬司令,Dark,Steel,490,65,125,100,60,70,70,5
626,爆炸頭水牛,Normal,,490,95,,95,40,95,55,5
627,毛頭小鷹,Normal,Flying,350,70,83,50,37,50,60,5
628,勇士雄鷹,Normal,Flying,510,100,123,75,57,75,80,5
629,禿鷹丫頭,Dark,Flying,370,70,55,75,45,65,60,5
630,禿鷹娜,Dark,Flying,510,110,65,105,55,95,80,5
631,熔蟻獸,Fire,,484,85,97,66,105,66,65,5
632,鐵蟻,Bug,Steel,484,58,109,112,48,48,109,5
633,單首龍,Dark,Dragon,300,52,65,50,45,50,38,5
634,雙首暴龍,Dark,Dragon,420,72,85,70,65,70,58,5
635,三首惡龍,Dark,Dragon,600,92,105,90,125,90,98,5
636,燃燒蟲,Bug,Fire,360,55,85,55,50,55,60,5
637,火神蛾,Bug,Fire,550,85,60,65,135,105,100,5
638,勾帕路翁,Steel,Fighting,580,91,90,129,90,72,108,5
639,代拉基翁,Rock,Fighting,580,91,129,90,72,90,108,5
640,畢力吉翁,Grass,Fighting,580,91,90,72,90,129,108,5
641,龍捲雲-Incarnate,Flying,,580,79,115,70,125,80,111,5
641,龍捲雲-Therian,Flying,,580,79,100,80,110,90,121,5
642,雷電雲-Incarnate,Electric,Flying,580,79,115,70,125,80,111,5
642,雷電雲-Therian,Electric,Flying,580,79,105,70,145,80,101,5
643,萊希拉姆,Dragon,Fire,680,100,120,100,150,120,90,5
644,捷克羅姆,Dragon,Electric,680,100,150,120,120,100,90,5
645,土地雲-Therian,Ground,Flying,600,89,145,90,105,80,91,5
645,土地雲-Incarnate,Ground,Flying,600,89,125,90,115,80,101,5
646,酋雷姆-Black,Dragon,Ice,700,125,170,100,120,90,95,5
646,酋雷姆,Dragon,Ice,660,125,130,90,130,90,95,5
646,酋雷姆-White,Dragon,Ice,700,125,120,90,170,100,95,5
647,凱路迪歐-Ordinary,Water,Fighting,580,91,72,90,129,90,108,5
647,凱路迪歐-Resolute,Water,Fighting,580,91,72,90,129,90,108,5
648,美洛耶塔-Pirouette,Normal,Fighting,600,100,128,,77,77,128,5
648,美洛耶塔-Aria,Normal,Psychic,600,100,77,77,128,128,90,5
649,蓋諾賽克特,Bug,Steel,600,71,120,95,120,95,99,5
650,哈力栗,Grass,,313,56,61,65,48,45,38,6
651,胖胖哈力,Grass,,405,61,78,95,56,58,57,6
652,布里卡隆,Grass,Fighting,530,88,107,122,74,75,64,6
653,火狐狸,Fire,,307,40,45,40,62,60,60,6
654,長尾火狐,Fire,,409,59,59,58,90,70,73,6
655,妖火紅狐,Fire,Psychic,534,75,69,72,114,100,104,6
656,呱呱泡蛙,Water,,314,41,56,40,62,44,71,6
657,呱頭蛙,Water,,405,54,63,52,83,56,97,6
658,甲賀忍蛙,Water,Dark,530,72,95,67,103,71,122,6
659,掘掘兔,Normal,,237,38,36,38,32,36,57,6
660,掘地兔,Normal,Ground,423,85,56,77,50,77,78,6
661,小箭雀,Normal,Flying,278,45,50,43,40,38,62,6
662,火箭雀,Fire,Flying,382,62,73,55,56,52,84,6
663,烈箭鷹,Fire,Flying,499,78,81,71,74,69,126,6
664,粉蝶蟲,Bug,,200,38,35,40,27,25,35,6
665,粉蝶蛹,Bug,,213,45,22,60,27,30,29,6
666,彩粉蝶,Bug,Flying,411,80,52,50,90,50,89,6
667,小獅獅,Fire,Normal,369,62,50,58,73,54,72,6
668,火炎獅,Fire,Normal,507,86,68,72,109,66,106,6
669,花蓓蓓,Fairy,,303,44,38,39,61,79,42,6
670,花葉蒂,Fairy,,371,54,45,47,75,98,52,6
671,花潔夫人,Fairy,,552,78,65,68,112,154,75,6
672,坐騎小羊,Grass,,350,66,65,48,62,57,52,6
673,坐騎山羊,Grass,,531,123,100,62,97,81,68,6
674,頑皮熊貓,Fighting,,348,67,82,62,46,48,43,6
675,流氓熊貓,Fighting,Dark,495,95,124,78,69,71,58,6
676,多麗米亞,Normal,,472,75,80,60,65,90,102,6
677,妙喵,Psychic,,355,62,48,54,63,60,68,6
678,超能妙喵-Male,Psychic,,466,74,48,76,83,81,104,6
678,超能妙喵-Female,Psychic,,466,74,48,76,83,81,104,6
679,獨劍鞘,Steel,Ghost,325,45,80,100,35,37,28,6
680,雙劍鞘,Steel,Ghost,448,59,110,150,45,49,35,6
681,堅盾劍怪-Blade,Steel,Ghost,520,60,150,50,150,50,60,6
681,堅盾劍怪-Shield,Steel,Ghost,520,60,50,150,50,150,60,6
682,粉香香,Fairy,,341,78,52,60,63,65,23,6
683,芳香精,Fairy,,462,101,72,72,99,89,29,6
684,綿綿泡芙,Fairy,,341,62,48,66,59,57,49,6
685,胖甜妮,Fairy,,480,82,80,86,85,75,72,6
686,好啦魷,Dark,Psychic,288,53,54,53,37,46,45,6
687,烏賊王,Dark,Psychic,482,86,92,88,68,75,73,6
688,龜腳腳,Rock,Water,306,42,52,67,39,56,50,6
689,龜足巨鎧,Rock,Water,500,72,105,115,54,86,68,6
690,垃垃藻,Poison,Water,320,50,60,60,60,60,30,6
691,毒藻龍,Poison,Dragon,494,65,75,90,97,123,44,6
692,鐵臂槍蝦,Water,,330,50,53,62,58,63,44,6
693,鋼炮臂蝦,Water,,500,71,73,88,120,89,59,6
694,傘電蜥,Electric,Normal,289,44,38,33,61,43,70,6
695,光電傘蜥,Electric,Normal,481,62,55,52,109,94,109,6
696,寶寶暴龍,Rock,Dragon,362,58,89,77,45,45,48,6
697,怪顎龍,Rock,Dragon,521,82,121,119,69,59,71,6
698,冰雪龍,Rock,Ice,362,77,59,50,67,63,46,6
699,冰雪巨龍,Rock,Ice,521,123,77,72,99,92,58,6
700,仙子伊布,Fairy,,525,95,65,65,110,130,60,6
701,摔角鷹人,Fighting,Flying,500,78,92,,74,63,118,6
702,咚咚鼠,Electric,Fairy,431,67,58,57,81,67,101,6
703,小碎鑽,Rock,Fairy,500,50,50,150,50,150,50,6
704,黏黏寶,Dragon,,300,45,50,35,55,75,40,6
705,黏美兒,Dragon,,452,68,75,53,83,113,60,6
706,黏美龍,Dragon,,600,90,100,70,110,150,80,6
707,鑰圈兒,Steel,Fairy,470,57,80,91,80,87,75,6
708,小木靈,Ghost,Grass,309,43,70,48,50,60,38,6
709,朽木妖,Ghost,Grass,474,85,110,76,65,82,56,6
710,南瓜精-Average,Ghost,Grass,335,49,66,70,44,55,51,6
710,南瓜精-Small,Ghost,Grass,335,44,66,70,44,55,56,6
710,南瓜精-Large,Ghost,Grass,335,54,66,70,44,55,46,6
710,南瓜精-Super,Ghost,Grass,335,59,66,70,44,55,41,6
711,南瓜怪人-Super,Ghost,Grass,494,85,100,122,58,75,54,6
711,南瓜怪人-Large,Ghost,Grass,494,75,95,122,58,75,69,6
711,南瓜怪人-Average,Ghost,Grass,494,65,90,122,58,75,84,6
711,南瓜怪人-Small,Ghost,Grass,494,55,85,122,58,75,99,6
712,冰寶,Ice,,304,55,69,85,32,35,28,6
713,冰岩怪,Ice,,514,95,117,184,44,46,28,6
714,嗡蝠,Flying,Dragon,245,40,30,35,45,40,55,6
715,音波龍,Flying,Dragon,535,85,70,80,97,80,123,6
716,哲爾尼亞斯,Fairy,,680,126,131,95,131,98,99,6
717,伊裴爾塔爾,Dark,Flying,680,126,131,95,131,98,99,6
718,伊裴爾塔爾Mega,Dragon,Ground,600,108,100,121,81,95,95,6
719,蒂安希Mega,Rock,Fairy,700,50,160,110,160,110,110,6
719,蒂安希,Rock,Fairy,600,50,100,150,100,150,50,6
720,胡帕-Unbound,Psychic,Dark,680,80,160,60,170,130,80,6
720,胡帕-Confined,Psychic,Ghost,600,80,110,60,150,130,70,6
721,波爾凱尼恩,Fire,Water,600,80,110,120,130,90,70,6
722,木木梟,Grass,Flying,320,68,55,55,50,50,42,7
723,投羽梟,Grass,Flying,420,78,75,75,70,70,52,7
724,狙射樹梟,Grass,Ghost,530,78,107,75,100,100,70,7
725,火斑喵,Fire,,320,45,65,40,60,40,70,7
726,炎熱喵,Fire,,420,65,85,50,80,50,90,7
727,熾焰咆哮虎,Fire,,530,95,115,90,80,90,60,7
728,球球海獅,Water,,320,50,54,54,66,56,40,7
729,花漾海獅,Water,,420,60,69,69,91,81,50,7
730,西獅海壬,Water,,530,80,74,74,126,116,60,7
731,小篤兒,Normal,Flying,265,35,75,30,30,30,65,7
732,喇叭啄鳥,Normal,Flying,355,55,85,50,40,50,75,7
733,銃嘴大鳥,Normal,Flying,485,80,120,75,75,75,60,7
734,貓鼬少,Normal,,253,48,70,30,30,30,45,7
735,貓鼬探長,Normal,,418,88,,60,55,60,45,7
736,強顎雞母蟲,Bug,,300,47,62,45,55,45,46,7
737,蟲電寶,Bug,Electric,400,57,82,95,55,75,36,7
738,鍬農炮蟲,Bug,Electric,500,77,70,90,145,75,43,7
739,好勝蟹,Fighting,,338,47,82,,42,47,63,7
740,好勝毛蟹,Fighting,Ice,478,97,132,77,62,67,43,7
741,花舞鳥-Pom-Pom,Electric,Flying,476,75,70,70,98,70,93,7
741,花舞鳥-Baile,Fire,Flying,476,75,70,70,98,70,93,7
741,花舞鳥-Pau,Psychic,Flying,476,75,70,70,98,70,93,7
742,萌虻,Bug,Fairy,304,40,45,40,55,40,84,7
743,蝶結萌虻,Bug,Fairy,464,60,55,60,95,70,124,7
744,岩狗狗,Rock,,280,45,65,40,30,40,60,7
745,鬃岩狼人-Midnight,Rock,,487,85,115,75,55,75,82,7
745,鬃岩狼人-Midday,Rock,,487,75,115,65,55,65,112,7
746,弱丁魚-School,Water,,620,45,140,130,140,135,30,7
746,弱丁魚-Solo,Water,,175,45,20,20,25,25,40,7
747,好壞星,Poison,Water,305,50,53,62,43,52,45,7
748,超壞星,Poison,Water,495,50,63,152,53,142,35,7
749,泥驢仔,Ground,,385,70,100,70,45,55,45,7
750,重泥挽馬,Ground,,500,100,125,100,55,85,35,7
751,滴蛛,Water,Bug,269,38,40,52,40,72,27,7
752,滴蛛霸,Water,Bug,454,68,70,92,50,132,42,7
753,偽螳草,Grass,,250,40,55,35,50,35,35,7
754,蘭螳花,Grass,,480,70,105,90,80,90,45,7
755,睡睡菇,Grass,Fairy,285,40,35,55,65,75,15,7
756,燈罩夜菇,Grass,Fairy,405,60,45,80,90,100,30,7
757,夜盜火蜥,Poison,Fire,320,48,44,40,71,40,77,7
758,焰后蜥,Poison,Fire,480,68,64,60,111,60,117,7
759,童偶熊,Normal,Fighting,340,70,75,50,45,50,50,7
760,穿著熊,Normal,Fighting,500,120,125,,55,60,60,7
761,甜竹竹,Grass,,210,42,30,38,30,38,32,7
762,甜舞妮,Grass,,290,52,40,48,40,48,62,7
763,甜冷美后,Grass,,510,72,120,98,50,98,72,7
764,花療環環,Fairy,,485,51,52,90,82,110,100,7
765,智揮猩,Normal,Psychic,490,90,60,,90,110,60,7
766,投擲猴,Fighting,,490,100,120,90,40,60,80,7
767,膽小蟲,Bug,Water,230,25,35,40,20,30,80,7
768,具甲武者,Bug,Water,530,75,125,140,60,90,40,7
769,沙丘娃,Ghost,Ground,320,55,55,80,70,45,15,7
770,噬沙堡爺,Ghost,Ground,480,85,75,110,100,75,35,7
771,拳海參,Water,,410,55,60,130,30,130,5,7
772,屬性：空,Normal,,534,95,95,95,95,95,59,7
773,銀伴戰獸,Normal,,570,95,95,95,95,95,95,7
774,小隕星-Core,Rock,Flying,500,60,100,60,100,60,120,7
774,小隕星-Meteor,Rock,Flying,440,60,60,100,60,100,60,7
775,樹枕尾熊,Normal,,480,65,115,,75,95,65,7
776,爆焰龜獸,Fire,Dragon,485,60,78,135,91,85,36,7
777,托戈德瑪爾,Electric,Steel,435,65,98,63,40,73,96,7
778,謎擬Ｑ,Ghost,Fairy,476,55,90,80,50,105,96,7
779,磨牙彩皮魚,Water,Psychic,475,68,105,70,70,70,92,7
780,老翁龍,Normal,Dragon,485,78,60,,135,91,36,7
781,破破舵輪,Ghost,Grass,517,70,131,100,86,90,40,7
782,心鱗寶,Dragon,,300,45,55,65,45,45,45,7
